row_id	family	branch	legacy_l	state_index	form_selector	typed_dispatch	legacy_dispatch	typed_title	legacy_title	typed_previous	legacy_previous	typed_pre_reset	legacy_epx	typed_input	legacy_epxx	typed_effective	legacy_effective	typed_dither	legacy_dither	typed_hadronic_real	legacy_hadronic_real	typed_hadronic_imag	legacy_hadronic_imag	exact	first_field
11	3	1	5	1	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	4.4519096612930298E-002	4.4519096612930298E-002	6.7601697519421577E-003	6.7601697519421577E-003	yes	NA
12	3	1	6	1	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	7.7557615004479885E-003	7.7557615004479885E-003	1.8976603168994188E-003	1.8976603168994188E-003	yes	NA
13	3	2	5	2	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	5.8970255777239799E-003	5.8970255777239799E-003	1.7298312159255147E-003	1.7298312159255147E-003	yes	NA
14	3	2	6	2	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	-3.6751516163349152E-003	-3.6751516163349152E-003	1.3506921277439687E-005	1.3506921277439687E-005	yes	NA
15	4	1	5	1	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	4.4519096612930298E-002	4.4519096612930298E-002	6.7601697519421577E-003	6.7601697519421577E-003	yes	NA
16	4	1	6	1	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	7.7557615004479885E-003	7.7557615004479885E-003	1.8976603168994188E-003	1.8976603168994188E-003	yes	NA
17	4	2	5	2	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	5.8970255777239799E-003	5.8970255777239799E-003	1.7298312159255147E-003	1.7298312159255147E-003	yes	NA
18	4	2	6	2	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	-3.6751516163349152E-003	-3.6751516163349152E-003	1.3506921277439687E-005	1.3506921277439687E-005	yes	NA
19	5	1	5	1	3	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	4.4519096612930298E-002	4.4519096612930298E-002	6.7601697519421577E-003	6.7601697519421577E-003	yes	NA
20	5	1	6	1	3	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	7.7557615004479885E-003	7.7557615004479885E-003	1.8976603168994188E-003	1.8976603168994188E-003	yes	NA
21	5	2	5	2	3	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	5.8970255777239799E-003	5.8970255777239799E-003	1.7298312159255147E-003	1.7298312159255147E-003	yes	NA
22	5	2	6	2	3	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	-3.6751516163349152E-003	-3.6751516163349152E-003	1.3506921277439687E-005	1.3506921277439687E-005	yes	NA
23	6	1	5	1	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	4.4519096612930298E-002	4.4519096612930298E-002	6.7601697519421577E-003	6.7601697519421577E-003	yes	NA
24	6	1	6	1	3	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	7.7557615004479885E-003	7.7557615004479885E-003	1.8976603168994188E-003	1.8976603168994188E-003	yes	NA
25	6	2	5	2	25	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	5.8970255777239799E-003	5.8970255777239799E-003	1.7298312159255147E-003	1.7298312159255147E-003	yes	NA
26	6	2	6	2	3	T	T	SP00	SP00	SP00	SP00	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	1.0000000474974513E-003	1.0000000474974513E-003	-3.6751516163349152E-003	-3.6751516163349152E-003	1.3506921277439687E-005	1.3506921277439687E-005	yes	NA
